Vendor Name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
Adobe,3917.45,,,,,,,,
ADOBE INC.,875.76,,617.52,,182.38,68.43,85.55,980.46,
Amazon,,63.8,119.16,,,,,,
AMAZON WEB SERVICES,430.58,819.1,,444.13,415.53,448.67,434.31,448.53,448.58
"ARIBA, INC.",,,,,,586.53,437.62,,
"ARTICULATE GLOBAL, INC.",,,,,,1376.94,,,
AudioAcrobat,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95
AUTHORIZE.NET,60,60,60,60,60,60,60,60,60
B&H Photo,59.66,,254.37,,,,,1668.31,
BAMBOO HR,693.2,802.04,596.13,711.2,707.15,755.69,769.69,775.48,780.06
Beaver Builder,,,,119.4,,,,147,
Bee by Mailup,,,,,,300,,,
Best Buy,131.69,,,,,,,,
BRAD MCDONALD,511.47,819.36,,799.7,,596.29,,781.98,
Codekeeper,199,199,199,199,199,199,199,199,199
"CONCUR TECHNOLOGIES, INC",3533,,7064,3717.12,3728.78,3725.6,3735.14,3721.36,3702.28
"CopyTalk, LLC",49.95,49.95,49.95,49.95,49.95,49.95,49.95,49.95,49.95
"CORNERSTONE OnDEMAND, INC.",39426.9,,,,,,,,
Creative Minds,,,,,,,,39,
DOMAINS PRICED RIGHT - 101 domain,131.97,,,,,,,487.96,
Dropbox,785.97,797.96,797.96,814.63,822.96,856.62,925.06,1004.09,1033.93
DYNADOT,,,,8.99,,,,,
FEDERAL EXPRESS,7803.18,7289.94,9537.7,5106.29,4646.75,4207.61,1245.05,705.04,760.3
GoDaddy,,,,,,189.98,23.98,,70.17
GOOGLE APPS,,100,359.43,,,,,,
GOOGLE MAPS API,30.19,34.21,,313.95,320.68,363.92,332.86,315.38,347.23
GOTO MEETING,720.8,720.8,720.8,720.8,720.8,720.8,720.8,720.8,720.8
Graphly,,,,,,60,60,60,60
"GROSS, MENDELSOHN & ASSOCIATES",8825,748,1210,,696,1122,1912,2058.5,2092.5
Hootsuite,239.84,,,,,,,,
"HUBSPOT, INC.",,8700,,,7632,3000,18927.36,7632,
INCITE AUTOMATION LLC,,,787.5,,,,,,
INTERCOM INC.,,,,,291.75,,,,12963.12
IRON MOUNTAIN,,,,,,,891.45,,265.38
IRONMARK INC.,,3217.45,1566.49,1353.6,687.1,,4253.92,1731.57,1531.2
Jelly Comb,34.99,,,,,,,,
KANON SAPP VIRTUAL ASSISTANT,500,500,500,500,500,500,500,500,500
KANON SAPP VIRTUAL ASSISTANT,,,,,,,1000,,1500
Keap,750,,,,,,,,
KEAP,,,,,2181,6417,2159,2129,2765.48
LAMBDA SOLUTIONS,,160000,,,38430,188430,,,
Liberated Syndication,50,50,50,50,50,50,50,50,50
LINKEDIN CORPORATION,9250,,9250,,,9805,,,
Linode.com,50,100,50,50,,50,50,100,
"LOGMEIN USA, INC.",950,880,91.43,,,,2883.2,,720.8
Lucid Software,,,10.55,111.68,10.55,10.55,10.55,10.55,10.55
Mailchimp,135.99,245.99,25.99,144.15,154.75,154.75,144.15,154.75,154.75
"MARKETING EFFICIENCY CONSULTANTS, LLC",3223,4388,2054,4181,3884,,4250,1205,2152.96
MENTIMETER AB,,,,,305.76,1223.04,,,
MIMEO.COM INC.,10426.32,380.82,5008.71,268.73,4438.26,41348.24,36159.9,15138.47,32190.83
"MINDTICKLE, INC.",,,,,1080,,,,
MNS GROUP,102743.53,56042.14,44415,74927.65,52734.56,110709.47,34330.15,68859.55,64941.18
MODA EXPERTS,,,,,,,35280,77600,35600
MONDAY.COM,,,,,948,,,,
New Relic,75,75,75,75,75,75,75,75,75
Newkajabi.com,,,97,97,97,97,97,97,97
Onetrust,50,50,50,50,50,50,50,111.05,100
"OUTMATCH, INC.",50000,50000,50500,50000,50000,50000,50000,50000,50000
PAYA,10945.14,9550.95,13661.95,10379.54,12436.43,9914.83,11014.39,9723.38,11150.32
PLATFORM.SH LIMITED,2705,,2705,1352.5,1352.5,1352.5,1352.5,,2705
Plivo.com,50,50,50,50,,50,50,50,
PlusThis,129,129,129,129,129,129,129,129,129
Pond5,,,,,,,,,43
PTI Marketing (Marcom),,,,,,,,,
"RAVE WIRELESS, INC.",,1524.75,,,,,,,
RHYME DIGITAL LLC,1500,2550,1500,,,,,,
"SAGE SOFTWARE, INC.",,,,,16488.26,,,,
"SC&H GROUP, INC.",13362.5,41102.5,24900,44522.5,45965,14865,18322.5,8287.5,16500
Semrush,,,,,,999.4,,,
Showmark Media,,,,253.5,,,,,
SlideModel,,,,,24.9,,,,
Smugmug.com,,,,90.1,,,,,
Sonix.Ai,185.63,,,1.02,0.92,,,,
"STERLING INFOSYSTEMS, INC.",156.88,,,78.44,145.22,156.88,117.66,156.88,78.44
Techsmith,,,199,,52.74,,,,
TELESYSTEM,2511.05,2573.93,2559.35,2646.88,,2354.13,2488.55,2469.35,
THE FRANCHISE BUILDERS BRANDS,68463,,,,,,66759,,
THIRD AND GROVE LLC,8550,7450,,13775,14950,9512.5,,,27612.5
Typeform,,,,,,,,,420
VERIZON,,,,139.99,724.23,476.97,476.97,476.97,476.97
VERIZON,,1075.3,543.99,,85.76,42.88,,,221.19
VIMEO,,,,,,634.94,,,954
Visme,,,,,,300,,,
VISUAL IMPACT,54728.48,8261,1700,625,49928.44,3523.7,45058.86,625,9988.96
VISUAL ROI,875,875,,,,,,,
"WISTIA, INC.",28,28,28,28,28,,29,29,29
"WORKZONE, LLC",,,,,,,,,699.6
WP Search,,,,14,,,,,
XMIND,,,,,,39.99,,,
ZAPIER,361.25,601.13,361.25,361.25,361.25,361.25,361.25,361.25,361.25
ZOHO CORPORATION,,,,,,,,826.51,
"ZOOM INFORMATION, INC.",3900,23440,23740,1098,,9014,29664.25,2795,27670.5
ZOOM VIDEO COMMUNICATIONS INC.,1063.57,2190.39,4746.57,,,5424.51,1930.67,2124.6,2140.85